runtime,profile,controller,seed,training_seed,session_id,action,count,share
thread,lax-background,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s333,increase_freshness,0,0.0
thread,lax-background,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s444,hold,64,1.0
thread,lax-background,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s444,increase_coverage,0,0.0
thread,lax-background,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s444,decrease_coverage,0,0.0
thread,lax-background,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s444,increase_sample,0,0.0
thread,lax-background,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s444,decrease_sample,0,0.0
thread,lax-background,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s444,decrease_freshness,0,0.0
thread,lax-background,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s444,increase_freshness,0,0.0
thread,lax-background,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s555,hold,64,1.0
thread,lax-background,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s555,increase_coverage,0,0.0
thread,lax-background,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s555,decrease_coverage,0,0.0
thread,lax-background,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s555,increase_sample,0,0.0
thread,lax-background,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s555,decrease_sample,0,0.0
thread,lax-background,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s555,decrease_freshness,0,0.0
thread,lax-background,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s555,increase_freshness,0,0.0
thread,lax-background,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s111,hold,13,0.203125
thread,lax-background,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s111,increase_coverage,6,0.09375
thread,lax-background,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s111,decrease_coverage,7,0.109375
thread,lax-background,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s111,increase_sample,10,0.15625
thread,lax-background,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s111,decrease_sample,8,0.125
thread,lax-background,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s111,decrease_freshness,11,0.171875
thread,lax-background,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s111,increase_freshness,9,0.140625
thread,lax-background,qlearning,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s222,hold,7,0.109375
thread,lax-background,qlearning,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s222,increase_coverage,12,0.1875
thread,lax-background,qlearning,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s222,decrease_coverage,14,0.21875
thread,lax-background,qlearning,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s222,increase_sample,10,0.15625
thread,lax-background,qlearning,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s222,decrease_sample,8,0.125
thread,lax-background,qlearning,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s222,decrease_freshness,8,0.125
thread,lax-background,qlearning,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s222,increase_freshness,5,0.078125
thread,lax-background,qlearning,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s333,hold,11,0.171875
thread,lax-background,qlearning,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s333,increase_coverage,10,0.15625
thread,lax-background,qlearning,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s333,decrease_coverage,11,0.171875
thread,lax-background,qlearning,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s333,increase_sample,9,0.140625
thread,lax-background,qlearning,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s333,decrease_sample,10,0.15625
thread,lax-background,qlearning,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s333,decrease_freshness,6,0.09375
thread,lax-background,qlearning,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s333,increase_freshness,7,0.109375
thread,lax-background,qlearning,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s444,hold,11,0.171875
thread,lax-background,qlearning,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s444,increase_coverage,8,0.125
thread,lax-background,qlearning,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s444,decrease_coverage,7,0.109375
thread,lax-background,qlearning,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s444,increase_sample,10,0.15625
thread,lax-background,qlearning,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s444,decrease_sample,11,0.171875
thread,lax-background,qlearning,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s444,decrease_freshness,7,0.109375
thread,lax-background,qlearning,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s444,increase_freshness,10,0.15625
thread,lax-background,qlearning,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s555,hold,13,0.203125
thread,lax-background,qlearning,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s555,increase_coverage,9,0.140625
thread,lax-background,qlearning,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s555,decrease_coverage,9,0.140625
thread,lax-background,qlearning,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s555,increase_sample,6,0.09375
thread,lax-background,qlearning,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s555,decrease_sample,7,0.109375
thread,lax-background,qlearning,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s555,decrease_freshness,8,0.125
thread,lax-background,qlearning,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s555,increase_freshness,12,0.1875
thread,lax-background,dqn,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s111,hold,54,0.84375
thread,lax-background,dqn,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s111,increase_coverage,2,0.03125
thread,lax-background,dqn,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s111,decrease_coverage,0,0.0
thread,lax-background,dqn,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s111,increase_sample,3,0.046875
thread,lax-background,dqn,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s111,decrease_sample,0,0.0
thread,lax-background,dqn,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s111,decrease_freshness,0,0.0
thread,lax-background,dqn,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s111,increase_freshness,5,0.078125
thread,lax-background,dqn,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s222,hold,56,0.875
thread,lax-background,dqn,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s222,increase_coverage,2,0.03125
thread,lax-background,dqn,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s222,decrease_coverage,0,0.0
thread,lax-background,dqn,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s222,increase_sample,3,0.046875
thread,lax-background,dqn,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s222,decrease_sample,0,0.0
thread,lax-background,dqn,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s222,decrease_freshness,0,0.0
thread,lax-background,dqn,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s222,increase_freshness,3,0.046875
thread,lax-background,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s333,hold,54,0.84375
thread,lax-background,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s333,increase_coverage,0,0.0
thread,lax-background,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s333,decrease_coverage,0,0.0
thread,lax-background,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s333,increase_sample,3,0.046875
thread,lax-background,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s333,decrease_sample,0,0.0
thread,lax-background,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s333,decrease_freshness,1,0.015625
thread,lax-background,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s333,increase_freshness,6,0.09375
thread,lax-background,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s444,hold,54,0.84375
thread,lax-background,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s444,increase_coverage,2,0.03125
thread,lax-background,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s444,decrease_coverage,0,0.0
thread,lax-background,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s444,increase_sample,3,0.046875
thread,lax-background,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s444,decrease_sample,0,0.0
thread,lax-background,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s444,decrease_freshness,0,0.0
thread,lax-background,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s444,increase_freshness,5,0.078125
thread,lax-background,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s555,hold,20,0.3125
thread,lax-background,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s555,increase_coverage,2,0.03125
thread,lax-background,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s555,decrease_coverage,0,0.0
thread,lax-background,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s555,increase_sample,3,0.046875
thread,lax-background,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s555,decrease_sample,0,0.0
thread,lax-background,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s555,decrease_freshness,19,0.296875
thread,lax-background,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s555,increase_freshness,20,0.3125
thread,lax-background,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s111,hold,54,0.84375
thread,lax-background,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s111,increase_coverage,2,0.03125
thread,lax-background,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s111,decrease_coverage,0,0.0
thread,lax-background,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s111,increase_sample,3,0.046875
thread,lax-background,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s111,decrease_sample,0,0.0
thread,lax-background,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s111,decrease_freshness,0,0.0
thread,lax-background,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s111,increase_freshness,5,0.078125
thread,lax-background,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s222,hold,54,0.84375
thread,lax-background,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s222,increase_coverage,2,0.03125
thread,lax-background,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s222,decrease_coverage,0,0.0
thread,lax-background,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s222,increase_sample,3,0.046875
thread,lax-background,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s222,decrease_sample,0,0.0
thread,lax-background,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s222,decrease_freshness,5,0.078125
thread,lax-background,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s222,increase_freshness,0,0.0
thread,lax-background,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s333,hold,54,0.84375
thread,lax-background,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s333,increase_coverage,2,0.03125
thread,lax-background,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s333,decrease_coverage,0,0.0
thread,lax-background,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s333,increase_sample,3,0.046875
thread,lax-background,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s333,decrease_sample,0,0.0
thread,lax-background,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s333,decrease_freshness,0,0.0
thread,lax-background,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s333,increase_freshness,5,0.078125
thread,lax-background,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s444,hold,59,0.921875
thread,lax-background,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s444,increase_coverage,2,0.03125
thread,lax-background,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s444,decrease_coverage,0,0.0
thread,lax-background,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s444,increase_sample,3,0.046875
thread,lax-background,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s444,decrease_sample,0,0.0
thread,lax-background,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s444,decrease_freshness,0,0.0
thread,lax-background,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s444,increase_freshness,0,0.0
thread,lax-background,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s555,hold,62,0.96875
thread,lax-background,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s555,increase_coverage,2,0.03125
thread,lax-background,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s555,decrease_coverage,0,0.0
thread,lax-background,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s555,increase_sample,0,0.0
thread,lax-background,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s555,decrease_sample,0,0.0
thread,lax-background,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s555,decrease_freshness,0,0.0
thread,lax-background,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s555,increase_freshness,0,0.0
thread,standard-operations,static,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s111,hold,64,1.0
thread,standard-operations,static,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s111,increase_coverage,0,0.0
thread,standard-operations,static,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s111,decrease_coverage,0,0.0
thread,standard-operations,static,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s111,increase_sample,0,0.0
thread,standard-operations,static,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s111,decrease_sample,0,0.0
thread,standard-operations,static,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s111,decrease_freshness,0,0.0
thread,standard-operations,static,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s111,increase_freshness,0,0.0
thread,standard-operations,static,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s222,hold,64,1.0
thread,standard-operations,static,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s222,increase_coverage,0,0.0
thread,standard-operations,static,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s222,decrease_coverage,0,0.0
thread,standard-operations,static,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s222,increase_sample,0,0.0
thread,standard-operations,static,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s222,decrease_sample,0,0.0
thread,standard-operations,static,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s222,decrease_freshness,0,0.0
