runtime,profile,controller,seed,training_seed,session_id,iteration,action,reward,cumulative_reward,coverage_quality_position,sample_quality_position,freshness_quality_position,cpu_percent,memory_percent,input_multiplier
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,9,hold,0.29360252149179256,2.5730982276539027,0.4999999999999999,0.5,0.5,0.85,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,10,hold,0.29438682662451165,2.8674850542784145,0.4999999999999999,0.5,0.5,0.6,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,11,hold,0.29517104161818153,3.162656095896596,0.4999999999999999,0.5,0.5,0.35,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,12,hold,0.295641634696194,3.45829773059279,0.4999999999999999,0.5,0.5,0.2,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,13,hold,0.29532823117697105,3.753625961769761,0.4999999999999999,0.5,0.5,0.3,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,14,hold,0.2951713908733652,4.048797352643127,0.4999999999999999,0.5,0.5,0.35,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,15,hold,0.29423013988632174,4.3430274925294485,0.4999999999999999,0.5,0.5,0.65,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,16,hold,0.2956417122514584,4.638669204780907,0.4999999999999999,0.5,0.5,0.2,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,17,hold,0.29532806355159424,4.933997268332501,0.4999999999999999,0.5,0.5,0.3,13.25,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,18,hold,0.20662396893778165,5.140621237270283,0.4999999999999999,0.5,0.5,28.2,13.649999999999999,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,19,hold,0.20975022052327605,5.350371457793559,0.4999999999999999,0.5,0.5,27.25,13.6,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,20,hold,0.2167601647134519,5.56713162250701,0.4999999999999999,0.5,0.5,25.25,13.35,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,21,hold,0.2936218499708032,5.860753472477813,0.4999999999999999,0.5,0.5,0.75,13.35,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,22,hold,0.294874660764729,6.155628133242542,0.4999999999999999,0.5,0.5,0.35,13.35,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,23,hold,0.29534584510159,6.450973978344132,0.4999999999999999,0.5,0.5,0.2,13.35,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,24,hold,0.28420658986503766,6.73518056820917,0.4999999999999999,0.5,0.5,3.7,13.4,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,25,hold,0.2937757507916594,7.028956319000829,0.4999999999999999,0.5,0.5,0.65,13.4,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,26,hold,0.29471448047425874,7.323670799475088,0.4999999999999999,0.5,0.5,0.35,13.4,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,27,hold,0.2951851705571218,7.618855970032209,0.4999999999999999,0.5,0.5,0.2,13.4,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,28,hold,0.29520081754579,7.914056787577999,0.4999999999999999,0.5,0.5,0.2,13.4,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,29,hold,0.2937889269051742,8.207845714483174,0.4999999999999999,0.5,0.5,0.65,13.4,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,30,hold,0.29316166833905244,8.501007382822227,0.4999999999999999,0.5,0.5,0.85,13.4,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,31,hold,0.29441644535441125,8.795423828176638,0.4999999999999999,0.5,0.5,0.45,13.4,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,32,hold,0.2955143085374152,9.090938136714053,0.4999999999999999,0.5,0.5,0.1,13.4,12.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,33,hold,0.2931615911886819,9.384099727902735,0.4999999999999999,0.5,0.5,0.85,13.4,48.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,34,hold,0.20666736627301216,9.590767094175746,0.4999999999999999,0.5,0.5,28.0,13.85,48.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,35,hold,0.20156783454536406,9.79233492872111,0.4999999999999999,0.5,0.5,28.5,15.049999999999999,48.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,36,hold,0.198055473138785,9.990390401859894,0.4999999999999999,0.5,0.5,28.400000000000002,16.35,48.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,37,hold,0.1942117201301176,10.184602121990013,0.4999999999999999,0.5,0.5,28.5,17.55,48.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,38,hold,0.19306801345485555,10.377670135444868,0.4999999999999999,0.5,0.5,28.3,18.15,48.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,39,hold,0.19291289758345118,10.570583033028319,0.4999999999999999,0.5,0.5,28.349999999999998,18.15,48.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,40,hold,0.19406602584846153,10.764649058876781,0.4999999999999999,0.5,0.5,28.45,17.65,48.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,41,hold,0.20426882357125162,10.968917882448032,0.4999999999999999,0.5,0.5,25.2,17.65,48.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,42,hold,0.20364168502584298,11.172559567473876,0.4999999999999999,0.5,0.5,25.4,17.65,48.0
