runtime,profile,controller,seed,training_seed,session_id,steps,reward_total,reward_per_step,spatial_fidelity_mean,hotspot_recall_mean,service_duty_mean_percent,violation_events,cpu_events,memory_events,coverage_events,sample_events,freshness_events,cpu_p95,cpu_max,memory_p95,memory_max,bandwidth_p95_mbps
thread,standard-operations,static,333,33,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s333,64,15.915943383645772,0.24868661536946518,0.8678797588437875,0.829751860490479,4.0880481118247625,0,0,0,0,0,0,50.2,50.7,32.6,32.6,0.1482348645902843
thread,standard-operations,static,444,44,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s444,64,15.897862711085896,0.24840410486071712,0.8678797588437875,0.829751860490479,4.011842712523446,0,0,0,0,0,0,50.0,50.8,32.6,32.6,0.14782670662430847
thread,standard-operations,static,555,55,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s555,64,15.895416184760704,0.248365877886886,0.8678797588437875,0.829751860490479,3.975019931162475,0,0,0,0,0,0,50.2,50.6,32.6,32.6,0.14793626337104335
thread,standard-operations,threshold,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_threshold_s111,64,1.633690873426291,0.025526419897285796,0.8942588560640903,0.870127634872589,3.32193856609201,2,0,0,2,0,0,57.819999999999915,100.0,32.945,44.2,0.15990691207507754
thread,standard-operations,threshold,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_threshold_s222,64,1.7128150080193323,0.026762734500302067,0.8940952682120117,0.869023130422074,3.2784354916956064,2,0,0,2,0,0,57.69999999999993,100.0,32.6,44.2,0.1589254185863846
thread,standard-operations,threshold,333,33,argos_mdpv5_thread_generalization_evaluate_standard-operations_threshold_s333,64,1.699920022264851,0.026561250347888296,0.8941127383111156,0.8686233265436328,3.332881567827488,2,0,0,2,0,0,54.09499999999992,100.0,32.6,44.2,0.15925722703644699
thread,standard-operations,threshold,444,44,argos_mdpv5_thread_generalization_evaluate_standard-operations_threshold_s444,64,1.7063055640685227,0.026661024438570668,0.8942588560640903,0.869023130422074,3.336356740607276,2,0,0,2,0,0,59.38499999999992,100.0,32.6,44.2,0.15980050015398978
thread,standard-operations,threshold,555,55,argos_mdpv5_thread_generalization_evaluate_standard-operations_threshold_s555,64,1.7223740342239524,0.026912094284749256,0.8941127383111156,0.8686233265436328,3.311065464295799,2,0,0,2,0,0,70.73999999999977,100.0,32.8,44.2,0.1617769630954796
thread,standard-operations,best_fixed,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_best_fixed_s111,64,37.09940443433221,0.5796781942864407,0.9469508314755549,0.9233247830229147,8.184363762117147,76,12,0,64,0,0,98.0,100.0,33.0,44.3,0.1730686964436996
thread,standard-operations,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_best_fixed_s222,64,37.22399568441092,0.5816249325689207,0.9469508314755549,0.9233247830229147,8.167101066999754,77,13,0,64,0,0,98.44999999999999,100.0,33.1,44.3,0.17338252836317275
thread,standard-operations,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_standard-operations_best_fixed_s333,64,37.17096639361315,0.5807963499002055,0.9469508314755549,0.9233247830229147,8.229684947449485,76,12,0,64,0,0,98.44999999999999,100.0,33.1,44.3,0.17340078497259287
thread,standard-operations,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_standard-operations_best_fixed_s444,64,37.207325116190034,0.5813644549404693,0.9469508314755549,0.9233247830229147,8.148479907390723,76,12,0,64,0,0,98.0,100.0,33.1,44.3,0.17310533406050643
thread,standard-operations,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_standard-operations_best_fixed_s555,64,37.209053434635216,0.5813914599161752,0.9469508314755549,0.9233247830229147,8.14119455885845,76,12,0,64,0,0,98.44999999999999,100.0,33.1,44.3,0.17328591085166636
thread,standard-operations,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_qlearning_s111,64,17.128241639235355,0.2676287756130524,0.9298394200381586,0.9326049708563563,3.9221465508473488,66,15,0,51,0,0,100.0,100.0,39.57499999999996,44.4,0.17530963399725408
thread,standard-operations,qlearning,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_qlearning_s222,64,13.112210476944663,0.20487828870226035,0.9159117996364841,0.9095176768823411,4.994973484741165,66,20,0,46,0,0,100.0,100.0,39.60999999999998,44.2,0.17563996594295705
thread,standard-operations,qlearning,333,33,argos_mdpv5_thread_generalization_evaluate_standard-operations_qlearning_s333,64,3.7267877078454195,0.05823105793508468,0.8844072057178124,0.8592180175282934,2.351101482318493,0,0,0,0,0,0,50.5,56.3,30.1,30.1,0.1488986233995882
thread,standard-operations,qlearning,444,44,argos_mdpv5_thread_generalization_evaluate_standard-operations_qlearning_s444,64,19.47502512435894,0.30429726756810843,0.8972234063958393,0.8840210278632928,8.439692891148663,47,17,0,30,0,0,100.0,100.0,43.9,44.3,0.1735226430100306
thread,standard-operations,qlearning,555,55,argos_mdpv5_thread_generalization_evaluate_standard-operations_qlearning_s555,64,14.502456587049673,0.22660088417265115,0.9210839890483994,0.9229451546234022,3.852729976012022,57,22,0,35,0,0,100.0,100.0,43.945,44.2,0.17385173315672234
thread,standard-operations,dqn,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_dqn_s111,64,28.87474237663341,0.45116784963489703,0.933058896958038,0.9484834604803662,8.078948026506568,80,20,0,60,0,0,100.0,100.0,41.89999999999998,44.3,0.17564476112451718
thread,standard-operations,dqn,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_dqn_s222,64,24.33081208423263,0.38016893881613484,0.926322887378848,0.9095015989638485,5.497283692923384,76,16,0,60,0,0,97.44999999999999,100.0,33.4,44.1,0.17583847632031793
thread,standard-operations,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_standard-operations_dqn_s333,64,16.361937543688207,0.25565527412012823,0.9375197179310784,0.918274479052906,3.9756335562499117,0,0,0,0,0,0,50.0,51.0,32.9,32.9,0.14790497442596548
thread,standard-operations,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_standard-operations_dqn_s444,64,28.815705940054002,0.4502454053133438,0.9347101646850348,0.9497964579222626,11.074280899668498,83,20,0,63,0,0,100.0,100.0,44.0,44.3,0.17406635859843936
thread,standard-operations,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_standard-operations_dqn_s555,64,31.97191107276406,0.4995611105119384,0.9360346294875185,0.948413308521198,7.805011576866139,75,12,0,63,0,0,98.0,100.0,33.1,44.3,0.17288212725713836
thread,standard-operations,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_ppo_s111,64,35.166772808851334,0.5494808251383021,0.9432597085115692,0.9294007094487842,7.910937382640871,75,12,0,63,0,0,98.0,100.0,33.1,44.3,0.1731526814284613
thread,standard-operations,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_ppo_s222,64,15.882071194560597,0.24815736241500932,0.8678797588437875,0.829751860490479,4.042580853063592,0,0,0,0,0,0,50.089999999999996,51.1,32.6,32.7,0.14800299502374034
thread,standard-operations,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_standard-operations_ppo_s333,64,35.15201859439466,0.5492502905374166,0.9432597085115692,0.9294007094487842,7.9043687102655875,75,12,0,63,0,0,98.44999999999999,100.0,33.0,44.3,0.17312574329412936
thread,standard-operations,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_standard-operations_ppo_s444,64,15.890625028800702,0.24829101607501097,0.8678797588437875,0.829751860490479,3.9882174181559735,0,0,0,0,0,0,50.089999999999996,50.8,32.7,32.7,0.14773016393796842
thread,standard-operations,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_standard-operations_ppo_s555,64,15.857048288366823,0.2477663795057316,0.8678797588437875,0.829751860490479,3.9752216850008284,0,0,0,0,0,0,50.2,55.2,32.7,32.7,0.14796450156161356
thread,cost-sensitive,static,111,11,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_static_s111,64,17.46308072346623,0.27286063630415985,0.8903330536815883,0.8763210531217352,2.338833634094676,0,0,0,0,0,0,50.0,50.5,32.5,32.5,0.14722759465977805
thread,cost-sensitive,static,222,22,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_static_s222,64,17.469335176699797,0.27295836213593433,0.8903330536815883,0.8763210531217352,2.241476328194548,0,0,0,0,0,0,50.2,51.0,32.8,32.8,0.1474916114221688
thread,cost-sensitive,static,333,33,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_static_s333,64,17.471981153505915,0.2729997055235299,0.8903330536815883,0.8763210531217352,2.2588105446807556,0,0,0,0,0,0,50.0,50.5,32.8,32.8,0.14728084054317853
thread,cost-sensitive,static,444,44,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_static_s444,64,17.478290849508962,0.27309829452357753,0.8903330536815883,0.8763210531217352,2.3309652262894582,0,0,0,0,0,0,50.089999999999996,50.8,32.0,32.0,0.1474828321506771
thread,cost-sensitive,static,555,55,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_static_s555,64,17.466049554158197,0.2729070242837218,0.8900772170102192,0.8763210531217352,2.2824406930198284,0,0,0,0,0,0,50.2,50.8,32.8,32.8,0.1477475311876843
thread,cost-sensitive,threshold,111,11,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_threshold_s111,64,15.403438701432977,0.24067872970989027,0.88732901267685,0.8531456397500847,1.767089730682423,2,0,0,2,0,0,50.5,85.1,32.8,32.8,0.15982679627575966
thread,cost-sensitive,threshold,222,22,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_threshold_s222,64,15.424231736561097,0.24100362088376714,0.8846481980700431,0.8462043222521415,1.7950671236712172,2,0,0,2,0,0,50.5,79.4,32.645,32.7,0.15846411415354683
thread,cost-sensitive,threshold,333,33,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_threshold_s333,64,15.410117130490672,0.24078308016391675,0.8842294795023851,0.8455490562966446,1.8251339667521131,2,0,0,2,0,0,50.5,81.2,32.38999999999999,32.6,0.1595594002292438
thread,cost-sensitive,threshold,444,44,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_threshold_s444,64,15.366119535873414,0.2400956177480221,0.8856675846576305,0.8499487482940155,1.773170954174673,2,0,0,2,0,0,50.5,83.3,32.7,32.7,0.15880495179740237
thread,cost-sensitive,threshold,555,55,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_threshold_s555,64,15.383465640752597,0.24036665063675933,0.8858669544471737,0.8499487482940155,1.8043391315322352,2,0,0,2,0,0,50.5,82.4,32.745,32.8,0.15918509637572115
thread,cost-sensitive,best_fixed,111,11,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_best_fixed_s111,64,38.36476163779177,0.5994494005904965,0.9289469023754269,0.930491737400556,4.101545011765953,77,13,0,64,0,0,98.0,100.0,33.0,44.2,0.17265355063246238
thread,cost-sensitive,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_best_fixed_s222,64,38.32389719654368,0.598810893695995,0.9289469023754269,0.930491737400556,4.042776385732851,76,12,0,64,0,0,98.44999999999999,100.0,33.1,44.2,0.1725382213535204
thread,cost-sensitive,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_best_fixed_s333,64,37.58870828861531,0.5873235670096142,0.9364077654610893,0.9422527456028453,5.13297882029619,76,12,0,64,0,0,99.44999999999999,100.0,33.0,44.2,0.17351122906577654
thread,cost-sensitive,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_best_fixed_s444,64,38.33206765047214,0.5989385570386272,0.9289469023754269,0.930491737400556,4.015390761525122,76,12,0,64,0,0,98.50499999999998,100.0,33.1,44.3,0.17262496979044578
thread,cost-sensitive,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_best_fixed_s555,64,38.33548583475991,0.5989919661681236,0.9289469023754269,0.930491737400556,4.047070888825407,76,12,0,64,0,0,98.50499999999998,100.0,33.0,44.2,0.17309700868188382
thread,cost-sensitive,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_qlearning_s111,64,19.04583159253521,0.2975911186333627,0.8908171011122988,0.8601888293507524,3.300140545590231,0,0,0,0,0,0,50.5,51.2,32.5,32.5,0.1504271084542626
thread,cost-sensitive,qlearning,222,22,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_qlearning_s222,64,16.6167372964913,0.2596365202576766,0.8793740096871596,0.8357255386357776,3.606050382953263,0,0,0,0,0,0,50.38999999999999,51.2,32.6,32.6,0.15005968122044944
thread,cost-sensitive,qlearning,333,33,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_qlearning_s333,64,20.439097141058177,0.319360892829034,0.8855940594171715,0.8438558388431898,2.7033598300573836,0,0,0,0,0,0,50.5,56.3,30.0,30.0,0.14845244539771746
thread,cost-sensitive,qlearning,444,44,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_qlearning_s444,64,17.311172513123932,0.27048707051756143,0.8934172383684226,0.8727021533463106,2.496814035331509,39,15,0,24,0,0,100.0,100.0,41.945,44.2,0.17330738218884562
thread,cost-sensitive,qlearning,555,55,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_qlearning_s555,64,19.997879213772826,0.3124668627152004,0.8855615739860718,0.8518483524450056,3.169410769169796,38,16,0,22,0,0,100.0,100.0,37.194999999999986,44.1,0.172855938170524
thread,cost-sensitive,dqn,111,11,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_dqn_s111,64,21.600414798941955,0.33750648123346805,0.8959210990539094,0.8637126692879038,2.600916740305029,53,13,0,40,0,0,100.0,100.0,44.0,44.3,0.1727989285396091
thread,cost-sensitive,dqn,222,22,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_dqn_s222,64,28.719766095064152,0.4487463452353774,0.8974293553271525,0.8678555039895983,3.2972338207929464,78,31,0,47,0,0,100.0,100.0,43.9,44.3,0.175218001035412
thread,cost-sensitive,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_dqn_s333,64,24.863726128202725,0.3884957207531676,0.9082970208869393,0.8898313041401824,2.7580164492759844,99,40,0,59,0,0,100.0,100.0,43.945,44.2,0.1749163371124205
thread,cost-sensitive,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_dqn_s444,64,28.463996562000712,0.44474994628126113,0.925807337887131,0.9254253209837577,2.10975779087208,38,6,0,32,0,0,98.0,100.0,33.1,44.3,0.17078656847157897
thread,cost-sensitive,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_dqn_s555,64,34.16422622773525,0.5338160348083633,0.9224370372609385,0.9211594482337948,3.1067237488538115,41,8,0,33,0,0,91.74999999999983,100.0,33.1,44.3,0.1698007872292315
thread,cost-sensitive,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_ppo_s111,64,27.109183261358076,0.42358098845871994,0.8903330536815883,0.8763210531217352,4.263489257901415,0,0,0,0,0,0,50.3,50.9,32.5,32.5,0.15034378782705599
thread,cost-sensitive,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_ppo_s222,64,31.019158841424495,0.48467435689725774,0.9281429542604575,0.9279843324969519,3.375320384692915,100,39,0,61,0,0,100.0,100.0,40.52499999999997,44.3,0.1755968700668454
thread,cost-sensitive,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_ppo_s333,64,35.83146638924566,0.5598666623319635,0.9276283640361258,0.9280189573221388,3.863337334583673,73,12,0,61,0,0,98.0,100.0,33.1,44.3,0.1726694864189468
thread,cost-sensitive,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_ppo_s444,64,35.9621870876551,0.561909173244611,0.9262191590074118,0.926799022597342,3.877781353940996,71,12,0,59,0,0,98.1,100.0,33.045,44.3,0.1731961061446305
thread,cost-sensitive,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_cost-sensitive_ppo_s555,64,36.11039969936245,0.5642249953025383,0.9241242599671196,0.9230113507461057,3.7947518850264155,40,5,0,35,0,0,83.75999999999996,100.0,33.1,44.3,0.1701256521332406
thread,short-burst,static,111,11,argos_mdpv5_thread_generalization_evaluate_short-burst_static_s111,64,11.51473724641017,0.17991776947515892,0.9351031434567211,0.9224448746360933,9.144559362979397,77,13,0,64,0,0,99.44999999999999,100.0,33.1,44.3,0.1765724454708049
thread,short-burst,static,222,22,argos_mdpv5_thread_generalization_evaluate_short-burst_static_s222,64,11.518241292993597,0.17997252020302495,0.9351031434567211,0.9224448746360933,9.10096617602798,77,13,0,64,0,0,99.44999999999999,100.0,33.1,44.5,0.17315046701686898
thread,short-burst,static,333,33,argos_mdpv5_thread_generalization_evaluate_short-burst_static_s333,64,11.493536316653405,0.17958650494770945,0.9351031434567211,0.9224448746360933,9.145826951651227,77,13,0,64,0,0,99.44999999999999,100.0,33.1,44.4,0.17266672748333553
thread,short-burst,static,444,44,argos_mdpv5_thread_generalization_evaluate_short-burst_static_s444,64,11.480145870490365,0.17937727922641195,0.9351031434567211,0.9224448746360933,9.177937762217777,77,13,0,64,0,0,99.44999999999999,100.0,33.1,44.4,0.17366601017458125
thread,short-burst,static,555,55,argos_mdpv5_thread_generalization_evaluate_short-burst_static_s555,64,11.484651605080364,0.1794476813293807,0.9351031434567211,0.9224448746360933,9.123136801121042,77,13,0,64,0,0,99.44999999999999,100.0,33.1,44.4,0.17553690386430354
thread,short-burst,threshold,111,11,argos_mdpv5_thread_generalization_evaluate_short-burst_threshold_s111,64,-10.034313166978896,-0.15678614323404524,0.9291748140133292,0.9275284519424705,6.107822426764701,12,0,0,12,0,0,80.39499999999974,100.0,32.7,44.2,0.163752444903415
thread,short-burst,threshold,222,22,argos_mdpv5_thread_generalization_evaluate_short-burst_threshold_s222,64,-11.313631138887228,-0.17677548654511294,0.9294581775690042,0.9279500216481048,7.2156850633086975,12,0,0,12,0,0,73.22499999999984,100.0,32.9,44.3,0.16788739351617005
thread,short-burst,threshold,333,33,argos_mdpv5_thread_generalization_evaluate_short-burst_threshold_s333,64,-9.66321592105552,-0.1509877487664925,0.9292456549022479,0.9276338443688791,5.4499696956462875,12,0,0,12,0,0,74.62499999999972,100.0,32.7,44.3,0.1679284890447059
thread,short-burst,threshold,444,44,argos_mdpv5_thread_generalization_evaluate_short-burst_threshold_s444,64,-11.342026466939677,-0.17721916354593245,0.9295644389023823,0.9281081102877177,7.191157409581729,12,0,0,12,0,0,69.61999999999978,100.0,32.7,44.3,0.16385224824656947
thread,short-burst,threshold,555,55,argos_mdpv5_thread_generalization_evaluate_short-burst_threshold_s555,64,-11.405941414303033,-0.1782178345984849,0.9295644389023823,0.9281081102877177,7.192540547167991,12,0,0,12,0,0,74.73999999999981,100.0,33.0,44.3,0.1670227920890085
