runtime,controller,baseline,seed,controller_reward,baseline_reward,reward_delta
process,ppo,threshold,444,0.2250439011022456,-0.05586874703035029,0.28091264813259587
process,ppo,threshold,555,0.307400030180636,-0.07291049610788405,0.38031052628852
process,static,best_fixed,111,0.1840277692784987,0.5211806842504441,-0.33715291497194533
process,static,best_fixed,222,0.18552608223948075,0.5192523569916367,-0.333726274752156
process,static,best_fixed,333,0.1760909268229365,0.506311415823953,-0.3302204890010165
process,static,best_fixed,444,0.20710505410412888,0.511804156129527,-0.3046991020253981
process,static,best_fixed,555,0.20288015948835847,0.5021491011958078,-0.29926894170744933
process,threshold,best_fixed,111,-0.06296272746446985,0.5211806842504441,-0.5841434117149139
process,threshold,best_fixed,222,-0.01429437879079692,0.5192523569916367,-0.5335467357824336
process,threshold,best_fixed,333,-0.07110398533906095,0.506311415823953,-0.5774154011630139
process,threshold,best_fixed,444,-0.05586874703035029,0.511804156129527,-0.5676729031598773
process,threshold,best_fixed,555,-0.07291049610788405,0.5021491011958078,-0.5750595973036918
process,qlearning,best_fixed,111,0.006726049374974114,0.5211806842504441,-0.5144546348754699
process,qlearning,best_fixed,222,0.1859799651912309,0.5192523569916367,-0.33327239180040585
process,qlearning,best_fixed,333,0.10809511750450743,0.506311415823953,-0.3982162983194456
process,qlearning,best_fixed,444,0.25175091814175216,0.511804156129527,-0.26005323798777485
process,qlearning,best_fixed,555,0.18632233477059781,0.5021491011958078,-0.31582676642521
process,dqn,best_fixed,111,0.3969154951238895,0.5211806842504441,-0.12426518912655454
process,dqn,best_fixed,222,0.35557166782619903,0.5192523569916367,-0.1636806891654377
process,dqn,best_fixed,333,0.3565854957411536,0.506311415823953,-0.1497259200827994
process,dqn,best_fixed,444,0.34457458237041294,0.511804156129527,-0.16722957375911407
process,dqn,best_fixed,555,0.39592368909704373,0.5021491011958078,-0.10622541209876407
process,ppo,best_fixed,111,0.4549315203540668,0.5211806842504441,-0.06624916389637725
process,ppo,best_fixed,222,0.38618710675011514,0.5192523569916367,-0.1330652502415216
process,ppo,best_fixed,333,0.33785211703203777,0.506311415823953,-0.16845929879191524
process,ppo,best_fixed,444,0.2250439011022456,0.511804156129527,-0.2867602550272814
process,ppo,best_fixed,555,0.307400030180636,0.5021491011958078,-0.1947490710151718
