run_id,scenario,variant,live_seed,action,count,share
realistic_ppo_train22_live1002,realistic,ppo,1002,decrease_sample,0,0.0
realistic_ppo_train22_live1002,realistic,ppo,1002,decrease_freshness,184,0.15081967213114755
realistic_ppo_train22_live1002,realistic,ppo,1002,increase_freshness,188,0.1540983606557377
realistic_ppo_train33_live1003,realistic,ppo,1003,hold,1299,0.9509516837481699
realistic_ppo_train33_live1003,realistic,ppo,1003,increase_coverage,29,0.0212298682284041
realistic_ppo_train33_live1003,realistic,ppo,1003,decrease_coverage,0,0.0
realistic_ppo_train33_live1003,realistic,ppo,1003,increase_sample,22,0.016105417276720352
realistic_ppo_train33_live1003,realistic,ppo,1003,decrease_sample,0,0.0
realistic_ppo_train33_live1003,realistic,ppo,1003,decrease_freshness,0,0.0
realistic_ppo_train33_live1003,realistic,ppo,1003,increase_freshness,16,0.01171303074670571
realistic_ppo_train44_live1004,realistic,ppo,1004,hold,868,0.776386404293381
realistic_ppo_train44_live1004,realistic,ppo,1004,increase_coverage,15,0.013416815742397137
realistic_ppo_train44_live1004,realistic,ppo,1004,decrease_coverage,0,0.0
realistic_ppo_train44_live1004,realistic,ppo,1004,increase_sample,12,0.01073345259391771
realistic_ppo_train44_live1004,realistic,ppo,1004,decrease_sample,0,0.0
realistic_ppo_train44_live1004,realistic,ppo,1004,decrease_freshness,105,0.09391771019677997
realistic_ppo_train44_live1004,realistic,ppo,1004,increase_freshness,118,0.10554561717352415
realistic_ppo_train55_live1005,realistic,ppo,1005,hold,735,0.6843575418994413
realistic_ppo_train55_live1005,realistic,ppo,1005,increase_coverage,96,0.0893854748603352
realistic_ppo_train55_live1005,realistic,ppo,1005,decrease_coverage,74,0.06890130353817504
realistic_ppo_train55_live1005,realistic,ppo,1005,increase_sample,15,0.013966480446927373
realistic_ppo_train55_live1005,realistic,ppo,1005,decrease_sample,0,0.0
realistic_ppo_train55_live1005,realistic,ppo,1005,decrease_freshness,73,0.06797020484171322
realistic_ppo_train55_live1005,realistic,ppo,1005,increase_freshness,81,0.07541899441340782
realistic_static_train11_live1001,realistic,static,1001,hold,1227,1.0
realistic_static_train11_live1001,realistic,static,1001,increase_coverage,0,0.0
realistic_static_train11_live1001,realistic,static,1001,decrease_coverage,0,0.0
realistic_static_train11_live1001,realistic,static,1001,increase_sample,0,0.0
realistic_static_train11_live1001,realistic,static,1001,decrease_sample,0,0.0
realistic_static_train11_live1001,realistic,static,1001,decrease_freshness,0,0.0
realistic_static_train11_live1001,realistic,static,1001,increase_freshness,0,0.0
realistic_static_train22_live1002,realistic,static,1002,hold,1213,1.0
realistic_static_train22_live1002,realistic,static,1002,increase_coverage,0,0.0
realistic_static_train22_live1002,realistic,static,1002,decrease_coverage,0,0.0
realistic_static_train22_live1002,realistic,static,1002,increase_sample,0,0.0
realistic_static_train22_live1002,realistic,static,1002,decrease_sample,0,0.0
realistic_static_train22_live1002,realistic,static,1002,decrease_freshness,0,0.0
realistic_static_train22_live1002,realistic,static,1002,increase_freshness,0,0.0
realistic_static_train33_live1003,realistic,static,1003,hold,1365,1.0
realistic_static_train33_live1003,realistic,static,1003,increase_coverage,0,0.0
realistic_static_train33_live1003,realistic,static,1003,decrease_coverage,0,0.0
realistic_static_train33_live1003,realistic,static,1003,increase_sample,0,0.0
realistic_static_train33_live1003,realistic,static,1003,decrease_sample,0,0.0
realistic_static_train33_live1003,realistic,static,1003,decrease_freshness,0,0.0
realistic_static_train33_live1003,realistic,static,1003,increase_freshness,0,0.0
realistic_static_train44_live1004,realistic,static,1004,hold,1120,1.0
realistic_static_train44_live1004,realistic,static,1004,increase_coverage,0,0.0
realistic_static_train44_live1004,realistic,static,1004,decrease_coverage,0,0.0
realistic_static_train44_live1004,realistic,static,1004,increase_sample,0,0.0
realistic_static_train44_live1004,realistic,static,1004,decrease_sample,0,0.0
realistic_static_train44_live1004,realistic,static,1004,decrease_freshness,0,0.0
realistic_static_train44_live1004,realistic,static,1004,increase_freshness,0,0.0
realistic_static_train55_live1005,realistic,static,1005,hold,1075,1.0
realistic_static_train55_live1005,realistic,static,1005,increase_coverage,0,0.0
realistic_static_train55_live1005,realistic,static,1005,decrease_coverage,0,0.0
realistic_static_train55_live1005,realistic,static,1005,increase_sample,0,0.0
realistic_static_train55_live1005,realistic,static,1005,decrease_sample,0,0.0
realistic_static_train55_live1005,realistic,static,1005,decrease_freshness,0,0.0
realistic_static_train55_live1005,realistic,static,1005,increase_freshness,0,0.0
