run_id,scenario,variant,live_seed,minute,active_requests,queued_requests
concurrency_dqn_train33_live1003,concurrency,dqn,1003,3.0,4.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,3.5,4.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,4.0,5.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,4.5,6.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,5.0,6.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,5.5,7.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,6.0,7.0,1.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,6.5,7.0,1.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,7.0,8.0,1.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,7.5,8.0,2.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,8.0,8.0,2.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,8.5,8.0,3.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,9.0,8.0,4.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,9.5,9.0,3.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,10.0,9.0,4.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,10.5,9.0,4.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,11.0,9.0,5.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,11.5,9.0,5.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,12.0,9.0,6.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,12.5,9.0,6.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,13.0,9.0,7.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,13.5,9.0,8.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,14.0,9.0,9.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,14.5,9.0,9.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,15.0,9.0,10.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,15.5,9.0,11.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,16.0,9.0,11.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,16.5,9.0,12.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,17.0,9.0,13.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,17.5,9.0,14.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,18.0,9.0,14.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,18.5,9.0,15.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,19.0,9.0,16.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,19.5,9.0,16.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,20.0,9.0,17.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,20.5,9.0,17.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,21.0,9.0,18.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,21.5,9.0,19.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,22.0,9.0,19.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,22.5,9.0,20.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,23.0,9.0,20.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,23.5,9.0,21.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,24.0,9.0,21.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,24.5,9.0,22.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,25.0,9.0,23.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,25.5,9.0,23.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,26.0,9.0,24.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,26.5,9.0,25.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,27.0,9.0,25.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,27.5,9.0,26.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,28.0,9.0,26.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,28.5,9.0,27.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,29.0,9.0,27.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,29.5,9.0,28.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,30.0,9.0,28.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,0.0,1.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,0.5,1.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,1.0,2.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,1.5,2.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,2.0,3.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,2.5,3.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,3.0,4.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,3.5,4.0,0.0
