run_id,scenario,variant,live_seed,minute,cumulative_reward
concurrency_dqn_train44_live1004,concurrency,dqn,1004,24.5,-86.7972088886076
concurrency_dqn_train44_live1004,concurrency,dqn,1004,25.0,-98.45635893510917
concurrency_dqn_train44_live1004,concurrency,dqn,1004,25.5,-110.57598900008006
concurrency_dqn_train44_live1004,concurrency,dqn,1004,26.0,-122.6606179043938
concurrency_dqn_train44_live1004,concurrency,dqn,1004,26.5,-134.53963358503592
concurrency_dqn_train44_live1004,concurrency,dqn,1004,27.0,-146.67970608617333
concurrency_dqn_train44_live1004,concurrency,dqn,1004,27.5,-159.1112970918268
concurrency_dqn_train44_live1004,concurrency,dqn,1004,28.0,-171.29658100385257
concurrency_dqn_train44_live1004,concurrency,dqn,1004,28.5,-183.39052143825378
concurrency_dqn_train44_live1004,concurrency,dqn,1004,29.0,-196.03161948674062
concurrency_dqn_train44_live1004,concurrency,dqn,1004,29.5,-208.19741162966892
concurrency_dqn_train44_live1004,concurrency,dqn,1004,30.0,-220.54999174936754
concurrency_dqn_train55_live1005,concurrency,dqn,1005,0.0,0.2633851713524916
concurrency_dqn_train55_live1005,concurrency,dqn,1005,0.5,2.4054954348891027
concurrency_dqn_train55_live1005,concurrency,dqn,1005,1.0,4.72666888039701
concurrency_dqn_train55_live1005,concurrency,dqn,1005,1.5,8.653846879008512
concurrency_dqn_train55_live1005,concurrency,dqn,1005,2.0,13.959397341204292
concurrency_dqn_train55_live1005,concurrency,dqn,1005,2.5,21.400000025995052
concurrency_dqn_train55_live1005,concurrency,dqn,1005,3.0,29.777537312887976
concurrency_dqn_train55_live1005,concurrency,dqn,1005,3.5,39.61438413619661
concurrency_dqn_train55_live1005,concurrency,dqn,1005,4.0,50.56060902619362
concurrency_dqn_train55_live1005,concurrency,dqn,1005,4.5,63.12699124443602
concurrency_dqn_train55_live1005,concurrency,dqn,1005,5.0,77.17505308709768
concurrency_dqn_train55_live1005,concurrency,dqn,1005,5.5,91.67333734657764
concurrency_dqn_train55_live1005,concurrency,dqn,1005,6.0,108.74458625215512
concurrency_dqn_train55_live1005,concurrency,dqn,1005,6.5,127.69826137625529
concurrency_dqn_train55_live1005,concurrency,dqn,1005,7.0,142.88486071306278
concurrency_dqn_train55_live1005,concurrency,dqn,1005,7.5,154.1841956654794
concurrency_dqn_train55_live1005,concurrency,dqn,1005,8.0,163.60905652612763
concurrency_dqn_train55_live1005,concurrency,dqn,1005,8.5,170.71032432957148
concurrency_dqn_train55_live1005,concurrency,dqn,1005,9.0,175.3273640403426
concurrency_dqn_train55_live1005,concurrency,dqn,1005,9.5,178.7939723404761
concurrency_dqn_train55_live1005,concurrency,dqn,1005,10.0,182.4089139895958
concurrency_dqn_train55_live1005,concurrency,dqn,1005,10.5,185.7761693485529
concurrency_dqn_train55_live1005,concurrency,dqn,1005,11.0,189.1629247075099
concurrency_dqn_train55_live1005,concurrency,dqn,1005,11.5,192.85026927836716
concurrency_dqn_train55_live1005,concurrency,dqn,1005,12.0,196.49081924353095
concurrency_dqn_train55_live1005,concurrency,dqn,1005,12.5,200.28702021077257
concurrency_dqn_train55_live1005,concurrency,dqn,1005,13.0,203.8716048742746
concurrency_dqn_train55_live1005,concurrency,dqn,1005,13.5,207.30962493911397
concurrency_dqn_train55_live1005,concurrency,dqn,1005,14.0,210.6074097098358
concurrency_dqn_train55_live1005,concurrency,dqn,1005,14.5,214.52777101031447
concurrency_dqn_train55_live1005,concurrency,dqn,1005,15.0,218.1314064620326
concurrency_dqn_train55_live1005,concurrency,dqn,1005,15.5,221.99374063674028
concurrency_dqn_train55_live1005,concurrency,dqn,1005,16.0,225.57573133563162
concurrency_dqn_train55_live1005,concurrency,dqn,1005,16.5,229.09670078083457
concurrency_dqn_train55_live1005,concurrency,dqn,1005,17.0,232.73707263816874
concurrency_dqn_train55_live1005,concurrency,dqn,1005,17.5,236.38905119613557
concurrency_dqn_train55_live1005,concurrency,dqn,1005,18.0,239.79315949626908
concurrency_dqn_train55_live1005,concurrency,dqn,1005,18.5,243.12597367875549
concurrency_dqn_train55_live1005,concurrency,dqn,1005,19.0,246.49878786124202
concurrency_dqn_train55_live1005,concurrency,dqn,1005,19.5,250.69605040394174
concurrency_dqn_train55_live1005,concurrency,dqn,1005,20.0,254.52343220174248
concurrency_dqn_train55_live1005,concurrency,dqn,1005,20.5,258.06341378445825
concurrency_dqn_train55_live1005,concurrency,dqn,1005,21.0,261.72726010547336
concurrency_dqn_train55_live1005,concurrency,dqn,1005,21.5,265.6034752978385
concurrency_dqn_train55_live1005,concurrency,dqn,1005,22.0,269.30593661963474
concurrency_dqn_train55_live1005,concurrency,dqn,1005,22.5,272.7041625668268
concurrency_dqn_train55_live1005,concurrency,dqn,1005,23.0,276.38433714426526
concurrency_dqn_train55_live1005,concurrency,dqn,1005,23.5,279.82656309145744
concurrency_dqn_train55_live1005,concurrency,dqn,1005,24.0,283.1697302151204
concurrency_dqn_train55_live1005,concurrency,dqn,1005,24.5,286.74814065806885
concurrency_dqn_train55_live1005,concurrency,dqn,1005,25.0,290.3606664744265
concurrency_dqn_train55_live1005,concurrency,dqn,1005,25.5,293.98747055145543
concurrency_dqn_train55_live1005,concurrency,dqn,1005,26.0,297.5444685300555
concurrency_dqn_train55_live1005,concurrency,dqn,1005,26.5,300.8911650654831
concurrency_dqn_train55_live1005,concurrency,dqn,1005,27.0,304.7558990363034
concurrency_dqn_train55_live1005,concurrency,dqn,1005,27.5,308.4139931874196
concurrency_dqn_train55_live1005,concurrency,dqn,1005,28.0,311.7639838404942
concurrency_dqn_train55_live1005,concurrency,dqn,1005,28.5,315.75033562391314
concurrency_dqn_train55_live1005,concurrency,dqn,1005,29.0,319.6011641325762
concurrency_dqn_train55_live1005,concurrency,dqn,1005,29.5,323.0617430209449
concurrency_dqn_train55_live1005,concurrency,dqn,1005,30.0,326.90875448981836
concurrency_ppo_train11_live1001,concurrency,ppo,1001,0.0,0.22886549634098644
concurrency_ppo_train11_live1001,concurrency,ppo,1001,0.5,2.2700937388742566
concurrency_ppo_train11_live1001,concurrency,ppo,1001,1.0,5.064099222426956
concurrency_ppo_train11_live1001,concurrency,ppo,1001,1.5,9.531310049509356
concurrency_ppo_train11_live1001,concurrency,ppo,1001,2.0,16.42427882709483
concurrency_ppo_train11_live1001,concurrency,ppo,1001,2.5,25.842017461009934
concurrency_ppo_train11_live1001,concurrency,ppo,1001,3.0,36.04522187299282
concurrency_ppo_train11_live1001,concurrency,ppo,1001,3.5,47.17303053397152
